batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - GrndPaGaming,"battlefield, grndpagaming, fyppppppppppppppppppppppp, battlefield2042, sniper",grndpagaming,2900000,18100,219900,88100,xgwrapper-0-7325256967516163370
1,1,,"animation, animationmeme, youngsheldon, georgecooper, sheldon, sheldoncooper",,195700,4928,25300,2952,-1
1,2,,"@brittneycastro256, moana, actingaudio, liveaction",,698000,1946,37900,706,-1
1,3,,"%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0, %D1%81%D0%BB%D0%BE%D0%B2%D0%BE_%D0%BF%D0%B0%D1%86%D0%B0%D0%BD%D0%B0",,1300000,5390,175100,32100,-1
1,4,,,,759200,9530,213800,259800,-1
1,5,,"serverlife, serverproblems, servertiktok, servers",,144600,0,21600,839,-1
1,6,,"makeup, lipgloss, bigfamily, notenoughnelsons, nenfam, viral, paisleenelson",,219800,2199,15900,649,-1
1,7,,"%D1%80%D0%B5%D0%BA, %D1%80%D0%B5%D0%BA%D0%BE%D0%BC%D0%B5%D0%BD%D0%B4%D0%B0%D1%86%D0%B8%D0%B8, %D1%81%D0%BF%D0%B0%D1%81%D0%B8%D0%B1%D0%BE%D0%B4%D0%B5%D0%B4%D1%83%D0%B7%D0%B0%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D1%83",,202500,1741,25200,12100,-1
1,8,,,,386500,3888,36200,1769,-1
