batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
3,5,UKRAINE - Jay Hound & Jay5ive & SweepersENT,"fyp, dredadancer",dre_da_dancer,7943,22,491,10,-1
3,6,original sound - devin appice,,devinappicee,58600,146,2634,45,-1
3,7,original sound - Cuhvoo,"roblox, bladeball",cuhvoo,14700,337,2259,168,-1
3,8,original sound - Rowheim Farooqui,,rowheimfarooqui,26900,70,1827,219,-1
3,9,Kerosene - Crystal Castles,"fortnitechapter5, fortnitefunny, fortniteclips, fortnitebr, gaming, fyp",noahwplays1,32900,418,4030,186,-1
3,10,original sound - Kriss&Esme,"motheranddaughter, relateable, girls, mom, daughter, funnyrelatable, trendingvideo",krissleos,154700,497,15700,834,-1
3,11,original sound - Joshua Donald,"meme, memecut, fyp, blowthisup, funny, repost, relatable, trending, nic",.joshuadonald,81900,742,10900,1836,-1
3,12,original sound - LOVELY PEACHES 💖,"floptok, flopera, flop, mulch, slay, fyp, viral",lovelypeaches4eva321,308300,2437,44800,5682,-1
3,13,original sound - Jack Doherty,"jackdoherty, kanye, ye",jackdoherty,47000,540,1981,97,-1
3,14,original sound - Aliyah Marie,,aliyahm411,85500,685,7180,2455,-1
3,15,original sound - AKANA,"@anna_hearttz, parody, comedy, costco, tiktok",akana_official,181800,1094,24700,942,-1
3,16,mama they say im a terrorist - nickvxt,"fyp, viral, foryou, sturniolotriplets, sturniolotripletsedit, christophersturniolo, trrst, ic3peak, chrissturniolo",nickvxt,300000,2207,89200,2245,-1
3,17,original sound - 思玲babyqueen,"@felistassakile0, foryou, blackinchina, babyqueen, viral, chinastreet, blackgirlinchina, speakingchinese, foryoupage",ababyqueen,339500,4526,19500,2468,-1
3,18,SkeeYee x Sexyy Red - Sexyy Red,"ote, hoops, rollingloud, nelsonneumann",rollingloud.ote,14700,77,1302,15,-1
3,19,original sound - Volume Up,"madea, real, cops, rudecustomers, customerservice, relatable, fyp, viral",volumeupvids,825400,8542,77400,43000,-1
3,20,Love You So - The King Khan & BBQ Show,"creepy, teacher, pe, gym, skit, emma, jeremy, fyp, 4",mikecaponera6,102900,1127,15100,548,-1
3,21,wooowa ba ba ba ba - 𝓹𝓮𝔂𝓽𝓸𝓷🏴‍☠️,,emich3ll,463200,2509,56400,2160,-1
3,22,original sound - spo6kzie,,usimmango,112100,616,6506,612,-1
3,23,MOVE YO BODY - Bryansanon,"fyp, pourtoi",cyber.ghetto,10900,79,1318,159,-1
3,24,original sound - Sarah,fyp,kate.nita.secreet72,8169,36,1272,91,-1
3,25,original sound - ashley rose,,ashleyroseclips,6115,33,352,11,-1
