batch,index,music,hashtag,author,likes,comments,shares,saves,video_id
1,0,original sound - REEKON Tools,,reekontools,639300,3842,105000,77500,xgwrapper-0-7308389258002238750
1,1,original sound - 𝙹 𝙾 𝚈 𝙲 𝙴 𝙻 𝙸𝙽 💋,"serverlife, serverproblems, servertiktok, servers",lujanojoyce,144600,0,21600,839,-1
1,2,Where you are (Vocals only) - Halal Beats,"randomfacts, randomcuriosities, randomvideo, fyp, interestingfacts, satisfying, alwayscurious, foryou",rrandomfact,162400,32200,14200,174000,-1
1,3,original sound - LiLeWatts,"funny, relatable, fyp",lilewatts,101900,1298,18200,1041,-1
1,4,original sound - ypk.raye,,ypk.raye,226400,939,14200,2925,-1
1,5,Lovin On Me - Jack Harlow,"@jusjdkds, fyp, egirl, viral, fakebody",daisybloomss,59100,322,4137,176,-1
1,6,a way out - my head is empty & Miranda Rain,"fyp, crush, viral",joshterrellclips,2042,6,274,11,-1
1,7,original sound - Damon Brown,basketball,dame.universe,97700,156,7796,61,-1
1,8,original sound - Medazelli Automatic ☔️,,medazelli.automatic,395800,1211,58100,5308,-1
1,9,MR. TAKE YA B*TCH (FEAT. CHRISEANROCK) - Lil Mabu & CHRISEAN ROCK,"fyp%E3%82%B7, foryoupage, funny, friendsgiving, foryou, 4you, virall",fendiiboyy,408700,2156,70000,2216,-1
1,10,original sound - 💎LadyKay💎,ladykaylive,lady.kay_,5734,1011,486,445,-1
2,0,original sound - Sour Comedy 🍋,"mattrife, mattrifecomedy",sourcomedy,50300,248,4021,1831,-1
2,1,original sound - Braxton Picou,"fyp, basketball, viral, sports",braxtonpicou,45300,537,4335,729,-1
2,2,original sound - Screedi,,screedi,18700,305,1635,31,-1
2,3,original sound - JOSEPHKNEL3.0,"fyp, fyp%E3%82%B7%E3%82%9Aviral, viralvideo, maynards",josephknel3.0,4953,653,1149,3442,-1
2,4,original sound - cvbhhnm,"pov, storytime, foryou, fyp, tiktokindia, funny, vralvideo, acting, foryoupage",cvbhhnm,118000,2024,20300,2309,-1
2,5,Originalton - Nidal_edits,"nalishforever, nidal, wonder, salish, matter, edit, nidaledits, @nidalwonderr_, @realjordanmatter",nidalfanpage,22800,84,2345,61,-1
2,6,Plain Jane - Ilkan Gunuc & Emie,"alterhuman, motheroftherians, therians, therianthropy, therianfamily, scarydogprivilege, therian, @tyges.supplies, tygessupplies",fentherian,20900,421,1811,2595,-1
2,7,original sound - SongQuiz,"songguess, quizmusic, songquiz, juicewrld",songg.quiz,84100,3385,9582,248,-1
2,8,original sound - Abos F30,"fyp, bmw, abosf30, porsche, m3cs",abosf30,930300,611,41300,1485,-1
2,9,original sound - robinhood,caramelldansen,digitalwaifu,4600000,36600,503600,96700,-1
2,10,original sound - The Mannii Show,freecomedy,the_mannii,3710,60,310,19,-1
2,11,som original - MrStatus,"boxing, boxingcomedy, martialarts, mma, relatable",joel_iyalla,38300,97,2942,32,-1
2,12,original sound - THATMIKAMF,"fyp, fypage, trending, relatable",theonlyromantoolit,418500,1508,55500,4139,-1
2,13,original sound - ThatNerdChris,"fyp, fortnite, foryoupage",thatnerdchris,3984,64,856,31,-1
